DATE,CPIMEDSL
1966-01-01,26.3000000000000000
1967-01-01,28.1500000000000000
1968-01-01,29.8666666666666667
1969-01-01,31.9166666666666667
1970-01-01,33.9583333333333333
1971-01-01,36.1333333333333333
1972-01-01,37.3250000000000000
1973-01-01,38.7583333333333333
1974-01-01,42.3666666666666667
1975-01-01,47.4916666666666667
1976-01-01,52.0000000000000000
1977-01-01,56.9750000000000000
1978-01-01,61.7500000000000000
1979-01-01,67.4750000000000000
1980-01-01,74.8583333333333333
1981-01-01,82.9250000000000000
1982-01-01,92.6166666666666667
1983-01-01,100.6583333333333333
1984-01-01,106.9750000000000000
1985-01-01,113.6166666666666667
1986-01-01,122.1666666666666667
1987-01-01,130.1750000000000000
1988-01-01,138.6250000000000000
1989-01-01,149.2500000000000000
1990-01-01,162.8083333333333333
1991-01-01,177.0166666666666667
1992-01-01,190.0583333333333333
1993-01-01,201.4000000000000000
1994-01-01,211.0250000000000000
1995-01-01,220.4500000000000000
1996-01-01,228.2666666666666667
1997-01-01,234.5916666666666667
1998-01-01,242.1250000000000000
1999-01-01,250.5583333333333333
2000-01-01,260.7500000000000000
2001-01-01,272.7666666666666667
2002-01-01,285.6333333333333333
2003-01-01,297.0583333333333333
2004-01-01,310.1416666666666667
2005-01-01,323.2250000000000000
2006-01-01,336.1916666666666667
2007-01-01,351.0649166666666667
2008-01-01,364.0715000000000000
2009-01-01,375.6081666666666667
2010-01-01,388.4231666666666667
2011-01-01,400.2412500000000000
2012-01-01,414.9234166666666667
2013-01-01,425.1325000000000000
2014-01-01,435.3060000000000000
2015-01-01,446.7617500000000000
2016-01-01,463.6781666666666667
2017-01-01,475.3165833333333333
2018-01-01,484.7031666666666667
2019-01-01,498.4172500000000000
2020-01-01,518.8775833333333333
2021-01-01,.
